CategoryCode,ItemCode,Week,WeekID,DiscountValue,DiscountedPrice,SellingPrice,OnPromotion,WeeklySales,DiscountedAmount
category_1,3418,w1,1,,,,0,45,0
category_1,3418,w2,2,,,,0,50,0
category_1,3418,w3,3,,,,0,49,0
category_1,3418,w4,4,,,,0,38,0
category_1,3418,w1,5,,,,0,53,0
category_1,3418,w2,6,,,,0,38,0
category_1,3418,w3,7,,,,0,50,0
category_1,3418,w4,8,,,,0,47,0
category_1,3418,w1,9,,,,0,58,0
category_1,3418,w2,10,,,,0,88,0
category_1,3418,w3,11,,,,0,98,0
category_1,3418,w4,12,,,,0,61,0
category_1,3418,w1,13,,,,0,65,0
category_1,3418,w2,14,,,,0,80,0
category_1,3418,w3,15,,,,0,82,0
category_1,3418,w4,16,,,,0,75,0
category_1,3418,w1,17,,,,0,82,0
category_1,3418,w2,18,,,,0,103,0
category_1,3418,w3,19,,,,0,82,0
category_1,3418,w4,20,,,,0,45,0
category_1,3427,w1,1,,,,0,28,0
category_1,3427,w2,2,,,,0,36,0
category_1,3427,w3,3,,,,0,42,0
category_1,3427,w4,4,,,,0,52,0
category_1,3427,w1,5,,,,0,40,0
category_1,3427,w2,6,,,,0,20,0
category_1,3427,w3,7,,,,0,51,0
category_1,3427,w4,8,,,,0,35,0
category_1,3427,w1,9,,,,0,63,0
category_1,3427,w2,10,,,,0,48,0
category_1,3427,w3,11,,,,0,41,0
category_1,3427,w4,12,,,,0,78,0
category_1,3427,w1,13,,,,0,53,0
category_1,3427,w2,14,,,,0,25,0
category_1,3427,w3,15,,,,0,76,0
category_1,3427,w4,16,,,,0,34,0
category_1,3427,w1,17,,,,0,22,0
category_1,3427,w2,18,,,,0,47,0
category_1,3427,w3,19,,,,0,44,0
category_1,3427,w4,20,,,,0,18,0
category_3,7666,w1,1,0.2,32,40,1,141,8
category_3,7666,w2,2,0.2,32,40,1,140,8
category_3,7666,w3,3,0.3,28,40,1,220,12
category_3,7666,w4,4,0.2,32,40,1,174,8
category_3,7666,w1,5,,,,0,14,0
category_3,7666,w2,6,,,,0,12,0
category_3,7666,w3,7,,,,0,7,0
category_3,7666,w4,8,,,,0,48,0
category_3,7666,w1,9,0.2,32,40,1,94,8
category_3,7666,w2,10,0.2,32,40,1,120,8
category_3,7666,w3,11,0.2,32,40,1,220,8
category_3,7666,w4,12,0.2,32,40,1,132,8
category_3,7666,w1,13,0.2,32,40,1,113,8
category_3,7666,w2,14,,,,0,64,0
category_3,7666,w3,15,,,,0,14,0
category_3,7666,w4,16,,,,0,28,0
category_3,7666,w1,17,,,,0,29,0
category_3,7666,w2,18,,,,0,61,0
category_3,7666,w3,19,,,,0,41,0
category_3,7666,w4,20,,,,0,36,0
category_2,9925,w1,1,,,,0,7,0
category_2,9925,w2,2,,,,0,12,0
category_2,9925,w3,3,,,,0,12,0
category_2,9925,w4,4,,,,0,5,0
category_2,9925,w1,5,,,,0,12,0
category_2,9925,w2,6,,,,0,10,0
category_2,9925,w3,7,,,,0,9,0
category_2,9925,w4,8,,,,0,17,0
category_2,9925,w1,9,,,,0,12,0
category_2,9925,w2,10,,,,0,15,0
category_2,9925,w3,11,,,,0,13,0
category_2,9925,w4,12,,,,0,19,0
category_2,9925,w1,13,,,,0,20,0
category_2,9925,w2,14,,,,0,8,0
