CategoryCode,ItemCode,Week,id,WeeklySales
category_2,174436,w1,1,35
category_2,118033,w1,1,7
category_2,20824,w1,1,53
category_1,1061341,w1,1,18
category_1,76399,w1,1,21
category_1,1032541,w1,1,129
category_2,1076920,w1,1,4
category_2,1090240,w1,1,8
category_1,1054978,w1,1,22
category_1,59047,w1,1,3
category_1,1090303,w1,1,3
category_3,1060630,w1,1,33
category_1,36898,w1,1,17
category_3,1066570,w1,1,36
category_4,836584,w1,1,83
category_2,172582,w1,1,13
category_2,32245,w1,1,26
category_1,370195,w1,1,20
category_2,687616,w1,1,15
category_3,1063600,w1,1,11
category_2,1044502,w1,1,6
category_1,35449,w1,1,2
category_1,17287,w1,1,2
category_3,1081060,w1,1,52
category_2,1070818,w1,1,5
category_1,1067119,w1,1,18
category_2,1026871,w1,1,4
category_2,1076938,w1,1,6
category_3,132334,w1,1,11
category_2,815101,w1,1,15
category_4,1024810,w1,1,18
category_1,1049776,w1,1,9
category_2,1067074,w1,1,18
category_2,23569,w1,1,15
category_2,877624,w1,1,7
category_1,1032568,w1,1,123
category_2,117610,w1,1,4
category_2,216151,w1,1,8
category_1,24136,w1,1,17
category_4,1074823,w1,1,60
category_1,142756,w1,1,10
category_2,172033,w1,1,18
category_1,1061638,w1,1,24
category_2,865933,w1,1,24
category_2,1067092,w1,1,74
category_2,1101769,w1,1,8
category_4,872260,w1,1,4
category_1,145978,w1,1,20
category_1,371104,w1,1,4
category_2,43630,w1,1,9
category_1,1044682,w1,1,18
category_4,1003192,w1,1,7
category_2,59749,w1,1,26
category_2,1071106,w1,1,9
category_2,248272,w1,1,14
category_1,42496,w1,1,19
category_1,1047967,w1,1,184
category_4,1003147,w1,1,25
category_2,87559,w1,1,8
category_2,110320,w1,1,13
category_2,1006009,w1,1,8
category_2,138742,w1,1,9
category_4,123307,w1,1,242
category_2,836125,w1,1,11
category_2,30877,w1,1,21
category_3,131983,w1,1,18
category_2,903976,w1,1,41
category_1,42424,w1,1,13
category_4,245581,w1,1,24
category_2,86974,w1,1,12
category_2,39436,w1,1,139
category_1,839356,w1,1,6
category_2,87046,w1,1,6
category_1,3427,w1,1,11
category_1,43738,w1,1,10
category_1,1032559,w1,1,9
category_1,43657,w1,1,3
category_1,1077118,w1,1,7
category_1,1050046,w1,1,8
category_2,1101553,w1,1,4
category_3,1081069,w1,1,12
category_2,858886,w1,1,5
category_3,1101661,w1,1,5
category_2,1090249,w1,1,13
category_2,1070836,w1,1,8
category_1,1032532,w1,1,44
category_2,837943,w1,1,40
category_1,1044691,w1,1,5
category_1,38518,w1,1,9
category_3,169504,w1,1,311
category_3,37861,w1,1,77
category_3,1047130,w1,1,22
category_2,40759,w1,1,38
category_1,119554,w1,1,26
category_2,1064473,w1,1,28
category_4,731104,w1,1,7
category_1,3418,w1,1,29
category_4,23200,w1,1,8
category_3,1090024,w1,1,12
category_3,16936,w1,1,9
category_1,17296,w1,1,115
category_2,132028,w1,1,97
category_2,124954,w1,1,7
category_2,836152,w1,1,9
category_2,1090276,w1,1,4
category_1,1044619,w1,1,14
category_1,379249,w1,1,7
category_2,75886,w1,1,7
category_3,1081078,w1,1,8
category_1,145330,w1,1,7
category_1,371239,w1,1,11
category_2,1071124,w1,1,11
category_1,1056463,w1,1,9
category_2,213802,w1,1,5
category_2,1006090,w1,1,2
category_2,906586,w1,1,2
category_1,1084498,w1,1,15
category_4,1003156,w1,1,24
category_3,7666,w1,1,84
category_2,1098493,w1,1,6
category_1,1048975,w1,1,2
category_1,755584,w1,1,9
category_2,111382,w1,1,8
category_2,211309,w1,1,11
category_2,399220,w1,1,6
category_3,1064572,w1,1,5
category_1,37510,w1,1,1
category_1,86992,w1,1,5
category_2,50785,w1,1,9
category_2,65788,w1,1,26
category_4,1082743,w1,1,5
category_2,1101562,w1,1,6
category_2,1090258,w1,1,3
category_2,745945,w1,1,5
category_2,225259,w1,1,8
